Math_score,Reading_score,Writing_score,Placemet_score,Club_join_Date,Placement_Offer_Count
68,97,78,83,2021,1
70,86,90,67,2019,1
90,83,78,91,,3
63,88,,,2021,
,60,62,111,2019,3
80,82,95,90,2020,3
87,,80,,2017,3
67,94,72,81,,2
65,73,,60,2018,
64,77,55,91,2020,3
66,94,75,93,2017,3
87,,74,73,2021,1
79,82,65,,,2
69,75,58,95,2018,
50,85,63,90,2021,3
71,66,,68,2017,3
,89,83,,2021,
83,86,62,77,,2
73,84,68,81,2016,2
76,67,71,83,2021,
90,80,,63,2018,3
75,,88,,,2
73,60,72,65,2015,
88,90,70,55,2019,3
80,81,,,2030,3
,88,73,76,2016,2
72,40,89,112,,
67,89,71,89,2017,3
86,,73,,2020,
76,80,79,81,,2
